"","s0"
"251",265651.540791344
"252",252532.266057536
"253",260128.558227918
"254",222183.507313467
"255",207649.220899821
"256",183831.466330218
"257",178257.637928701
"258",139385.388078582
"259",203109.807561763
"260",236614.028400143
"261",165323.943666972
"262",127495.22758749
"263",155758.795020306
"264",208140.233509925
"265",235102.382110426
"266",188929.386792759
"267",158809.797728713
"268",177356.507444298
"269",166382.517522202
"270",153608.615234128
"271",122069.17182741
"272",123106.694968535
"273",112379.794251397
"274",120294.978104593
"275",129883.386349675
"276",110135.454599683
"277",293434.845944804
"278",250434.961282236
"279",242492.191802366
"280",208427.197737516
"281",186464.332768991
"282",170770.229014148
"283",180020.422074316
"284",288836.698192376
"285",219969.51866732
"286",197906.583709466
"287",217676.226031644
"288",216019.515725432
"289",151096.622906782
"290",134362.799756621
"291",257596.271407565
"292",115643.282566159
"293",148246.657797076
"294",194153.288035259
"295",169349.861370128
"296",122159.262738949
"297",118418.920886067
"298",145567.936914088
"299",160400.501574284
"300",165503.086129164
"301",148797.262290364
"302",172551.728994917
"303",190778.763522378
"304",115351.303968325
"305",168882.722413667
"306",184242.718902469
"307",218535.814934173
"308",137942.345347235
"309",174365.270551621
"310",148610.830990734
"311",126320.9779896
"312",139098.092661745
"313",122963.957798587
"314",151192.050855239
"315",138556.000589482
"316",127648.977069597
"317",103296.036874049
"318",139404.815929503
"319",110221.080422361
"320",175853.69944015
"321",129732.051616572
"322",85396.2025006969
"323",142319.480023409
"324",105425.148211444
"325",125729.737165032
"326",143502.850453499
"327",168744.950548699
"328",59763.3605732252
"329",108216.291287688
"330",79611.7166995767
"331",180502.87443229
"332",159041.102954775
"333",131310.107430509
"334",156692.18552165
"335",136199.968456739
"336",129581.672662913
"337",122542.265728446
"338",122536.623319402
"339",106219.368848419
"340",134867.40562506
"341",121514.526160285
"342",142301.179039992
"343",150130.209705732
"344",144640.512370316
"345",138401.323486198
"346",132247.056456905
"347",143432.873034327
"348",129853.211866192
"349",119561.351983755
"350",134334.823930868
"351",89602.611296701
"352",100006.028664116
"353",123875.343470644
"354",89215.5397049319
"355",54810.9996884895
"356",97520.6534201197
"357",108460.691731371
"358",140802.214856907
"359",127920.118720965
"360",54272.725185588
"361",117285.674316006
"362",152057.435347527
"363",45952.0566308945
"364",136606.927936444
"365",137772.239555028
"366",106890.935776288
"367",101339.105540913
"368",132043.101535465
"369",133481.021240083
"370",142162.353951591
"371",147177.083177503
"372",81447.4075086307
"373",141435.755336252
"374",123739.782694335
"375",124193.092752387
"376",127876.836770301
"377",88693.4339236855
"378",129880.54407693
"379",92077.4257436075
"380",135225.944046967
"381",135639.317165287
"382",95701.7495636132
"383",131052.856809399
"384",143795.583325501
"385",144704.75870964
"386",157596.531718911
"387",169831.324600802
"388",48223.9881994566
"389",107377.869116103
"390",119162.461334735
"391",159377.376786332
"392",127700.137543294
"393",127566.950245799
"394",171366.557158481
"395",163716.557802426
"396",223839.402241087
"397",146315.182831449
"398",137621.253149017
"399",120959.166160344
"400",153255.396377113
"401",120207.269869719
"402",294806.550981623
"403",279456.679562427
"404",279541.123582076
"405",322346.748748456
"406",302613.212595163
"407",227909.075236294
"408",278649.43140617
"409",205920.545472431
"410",224125.68947596
"411",244009.936792607
"412",178361.362666147
"413",233876.664351676
"414",151395.873440528
"415",202259.605780902
"416",197580.031601639
"417",211670.363834449
"418",207247.456702056
"419",127272.525593474
"420",131113.357711618
"421",246638.224610466
"422",244915.691773711
"423",190353.970052755
"424",204913.572515764
"425",238463.97446586
"426",275419.0105173
"427",215856.542498795
"428",264348.544223257
"429",172667.781156476
"430",116717.597162836
"431",137822.765181201
"432",98324.149111551
"433",125447.336066318
"434",125864.925644145
"435",140215.825183619
"436",130968.266320254
"437",114399.010009485
"438",115293.954401361
"439",164936.549856727
"440",153293.449211673
"441",164572.009602589
"442",154391.180428302
"443",211236.499714516
"444",147481.329111271
"445",197165.682236819
"446",146061.326466628
"447",218865.837130628
"448",110389.242935868
"449",135955.816136887
"450",122208.96956788
"451",223015.120742908
"452",330827.440457873
"453",147627.869529901
"454",55220.900495369
"455",272992.717979887
"456",65284.5739608188
"457",254019.82754809
"458",144732.962148615
"459",186567.166696942
"460",163956.273963361
"461",339259.6540863
"462",291913.686435796
"463",238243.813022042
"464",212197.332152874
"465",198998.281015631
"466",335089.389605441
"467",137548.863085109
"468",161433.712332907
"469",125514.386210256
"470",143081.271716418
"471",143806.16759806
"472",143866.216070354
"473",176879.421606424
"474",181127.588009281
"475",169459.132008906
"476",187113.075312897
"477",186014.377909057
"478",174308.502669125
"479",249837.651459944
"480",197204.946972678
"481",172450.3697899
"482",189126.878374066
"483",215335.533640869
"484",326517.71854563
"485",358512.931147879
"486",143484.031792199
"487",182468.297074541
"488",174943.19782344
"489",244806.470259974
"490",188693.845484033
"491",254027.741036907
"492",220493.265624381
"493",170850.899832929
"494",187387.139451345
"495",138935.161343739
"496",307496.199180153
"497",156711.279604102
"498",286837.900202194
"499",146119.390895378
"500",116351.763671078
"501",118908.565629722
"502",100714.863944873
"503",107520.927457896
"504",106253.086088332
"505",145484.670331059
"506",137252.433459179
"507",295604.34401895
"508",385355.56417987
"509",356404.285101858
"510",387449.002033023
"511",442769.290044814
"512",364868.541447301
"513",273083.495824328
"514",321593.778307
"515",446490.552689099
"516",276439.877527299
"517",351957.309862808
"518",340501.333289884
"519",327837.132563041
"520",210395.575870613
"521",336526.998001713
"522",227326.680650533
"523",211731.796746431
"524",180847.835036234
"525",220022.702078969
"526",209490.640034776
"527",185344.210812937
"528",176219.523815471
"529",195822.363948763
"530",208440.331781408
"531",238233.914543666
"532",214878.389321278
"533",174000.454520962
"534",232326.121207047
"535",184481.753642933
"536",249842.682732504
"537",305362.470703555
"538",313438.253237082
"539",269127.381317293
"540",308805.785691378
"541",269390.173945196
"542",240680.656369847
"543",253648.500700216
"544",282302.203867591
"545",229350.607659199
"546",218920.933542849
"547",248744.359948158
"548",206928.669328892
"549",194573.809201004
"550",197439.241672918
"551",144960.7596993
"552",174012.427723567
"553",178673.509900252
"554",186605.712535805
"555",207991.687652435
"556",191929.378736917
"557",194762.105751493
"558",116608.581437293
"559",135479.183722191
"560",108490.042468448
"561",103684.967162125
"562",180443.383909228
"563",147830.055332619
"564",267947.256564621
"565",344147.823969536
"566",171018.956829994
"567",156821.066233517
"568",156497.323575689
"569",160459.703294251
"570",255794.786674051
"571",231077.10819242
"572",245813.963000544
"573",244895.331996211
"574",171745.008916563
"575",214362.267475793
"576",199809.065538524
"577",201902.488280365
"578",313571.760776871
"579",222568.561052187
"580",284350.52798346
"581",279157.864956168
"582",202433.696210051
"583",174848.533909
"584",181198.687131134
"585",214699.484194638
"586",148365.459638106
"587",144385.543226383
"588",137863.190064976
"589",149844.871769136
"590",182211.991970617
"591",99277.5316184077
"592",122136.50041647
"593",148434.167335708
"594",94192.8912242241
"595",154605.485109422
"596",151742.391644451
"597",114798.591413751
"598",212915.107854338
"599",131730.711928725
"600",168807.335813116
"601",180983.28229395
"602",128912.219786993
"603",118678.816773012
"604",135247.043672718
"605",118998.896871088
"606",169755.717619464
"607",114642.877322947
"608",149697.979735299
"609",86681.4073521941
"610",117097.960555486
"611",92835.1383617316
"612",148579.996743452
"613",135244.656560382
"614",184544.659488005
"615",146162.540497583
"616",114200.786786266
"617",151653.621572999
"618",123978.537966828
"619",137369.83239676
"620",118070.985060228
"621",127568.580382005
"622",125122.972642425
"623",147895.0760495
"624",105065.113987828
"625",115073.713413771
"626",121855.0653501
"627",124396.05455223
"628",101532.668069822
"629",77225.6718156929
"630",128166.863848995
"631",105455.0433506
"632",119266.025164519
"633",122314.505725944
"634",114680.009253236
"635",144786.127766567
"636",88614.0492474051
"637",100970.488736429
"638",150805.304120636
"639",48943.5933561453
"640",78185.0465243354
"641",113716.206100917
"642",130818.273318682
"643",105693.589676403
"644",142988.253512762
"645",123748.377360669
"646",64069.2433337261
"647",186885.057945133
"648",113425.117772646
"649",108302.875913861
"650",133686.339781486
"651",145421.239480012
"652",138475.371620973
"653",126091.547467615
"654",125974.725300228
"655",164002.529388356
"656",116694.159676537
"657",148168.801589158
"658",127390.593057205
"659",112583.012797897
"660",115441.713611282
"661",82542.7980989568
"662",109944.674305699
"663",82759.9299244823
"664",157235.463194736
"665",128303.439259691
"666",151138.513012532
"667",161268.733763358
"668",131045.627510785
"669",96242.5356293342
"670",131327.411736177
"671",143444.0194015
"672",117882.164577056
"673",121718.136765896
"674",123461.036341361
"675",95551.2033264683
"676",80227.1831645892
"677",108344.694605442
"678",138459.470901355
"679",154805.622131434
"680",143185.327791259
"681",162329.697073407
"682",124650.217993178
"683",143541.210540678
"684",126807.729982824
"685",139931.716477755
"686",167045.574799239
"687",146997.559559375
"688",137904.266239009
"689",155248.909008024
"690",222658.964928015
"691",121212.759864652
"692",160908.693902494
"693",163189.940105313
"694",106376.550636456
"695",140961.263237696
"696",254737.160023543
"697",226977.40341199
"698",235734.788415492
"699",217330.695927441
"700",189772.822440458
"701",237809.544324297
"702",355081.727463217
"703",323592.578835174
"704",246297.558810623
"705",197519.535521932
"706",155890.516838107
"707",212911.548991339
"708",194948.839486887
"709",197605.071959848
"710",220627.327137164
"711",157729.224471433
"712",134981.371455949
"713",161879.274354273
"714",225669.392230553
"715",287417.936872492
"716",290726.534208314
"717",233829.535667051
"718",216758.320827672
"719",138383.791387879
"720",203326.812127208
"721",193575.610308866
"722",224679.548365949
"723",193322.707816835
"724",119930.183624763
"725",132310.004265124
"726",147408.634028663
"727",157340.684605648
"728",159426.896704188
"729",255793.707024425
"730",82128.5346653863
"731",81113.0329217277
"732",88445.7382969016
"733",111620.956034214
"734",97196.4977174254
"735",107353.249046242
"736",109805.982593726
"737",120005.321208398
"738",154244.835628498
"739",165596.506261125
"740",152642.755237028
"741",150387.696330854
"742",207027.93949304
"743",139453.944136847
"744",175270.179556657
"745",122612.183636939
"746",141967.378016764
"747",218428.731369052
"748",265882.890610207
"749",232119.58150293
"750",120711.853426002
"751",118529.79870103
"752",118527.9040374
"753",105940.109970763
"754",135600.264882836
"755",101528.552220857
"756",147670.631398918
"757",61159.6428072466
"758",70970.1227481379
"759",66290.5947051721
"760",60494.0684886381
"761",273857.441149532
"762",248991.193587377
"763",279659.703589549
"764",214240.107669323
"765",119972.055956808
"766",180633.245319946
"767",199088.465575961
"768",254080.839203022
"769",256771.716346318
"770",149412.931426447
"771",213576.803285211
"772",176471.6137244
"773",188390.787865557
"774",239556.674608361
"775",215458.836042361
"776",257635.657878359
"777",300894.835246338
"778",198230.153408624
"779",117611.573585273
"780",155179.80430197
"781",152351.67514483
"782",126121.814152865
"783",135214.521054565
"784",107115.742215274
"785",100440.104261273
"786",150784.685803495
"787",114373.602325138
"788",121619.327467042
"789",120816.296938427
"790",129254.208883732
"791",118596.113843954
"792",179829.583232402
"793",154639.043567663
"794",180330.409990885
"795",184880.611164886
"796",181069.846363753
"797",202346.069923396
"798",162110.933385394
"799",171421.873609974
"800",158402.942932004
"801",190732.302293949
"802",215899.381430868
"803",348480.89717595
"804",489291.899454224
"805",176735.256427347
"806",288978.313122711
"807",349824.106444004
"808",405350.498619549
"809",152887.088345581
"810",200232.043836566
"811",219595.31815218
"812",203602.748025721
"813",167519.430956583
"814",179753.125658248
"815",159157.54877427
"816",186233.367736022
"817",180909.383041813
"818",148049.182417184
"819",124123.353547861
"820",119019.394472428
"821",169142.961651879
"822",191068.728675291
"823",110753.180494093
"824",115370.555920306
"825",139432.49313555
"826",123636.802779732
"827",354582.716277246
"828",282485.961996317
"829",361886.634359654
"830",430276.642663115
"831",325866.241531146
"832",406305.413735101
"833",448402.596447916
"834",371347.602842724
"835",458565.246415171
"836",293142.17836551
"837",328984.740570564
"838",314238.939155361
"839",346199.660545142
"840",332506.269490879
"841",307752.331443001
"842",257784.677063912
"843",253014.449378537
"844",264169.501095168
"845",210603.41081423
"846",201512.980452216
"847",207455.120112729
"848",228507.763018851
"849",278296.347735998
"850",221608.331362656
"851",210635.967566805
"852",181096.75520768
"853",175639.913902175
"854",182784.361334685
"855",184669.834563331
"856",201718.776154332
"857",194154.107658755
"858",183387.020118634
"859",186586.464885039
"860",190083.148795582
"861",234166.447681623
"862",186240.128546991
"863",192541.989654387
"864",187380.491759237
"865",220437.644807933
"866",180783.112036918
"867",203655.925804334
"868",221778.590713547
"869",192507.136814939
"870",179583.455837501
"871",343230.282475272
"872",378499.944087352
"873",319282.563082191
"874",256984.212060299
"875",278179.949131647
"876",305891.280824579
"877",203219.590327106
"878",267211.031194247
"879",223265.524151525
"880",380673.533312479
"881",214007.682342663
"882",236052.970375136
"883",230221.935114504
"884",219670.65891186
"885",236568.772471782
"886",213788.070366752
"887",198526.004508746
"888",244013.712542848
"889",172948.604883199
"890",301876.453846508
"891",247376.457990998
"892",251908.429501665
"893",233901.093556551
"894",139909.299841163
"895",148358.775922612
"896",155030.007445332
"897",190438.922356591
"898",196628.273480992
"899",136556.791130812
"900",116518.145287275
"901",143352.315758626
"902",265793.760928069
"903",129728.81491241
"904",158914.60005972
"905",219021.117994038
"906",190158.534327073
"907",220159.70073624
"908",212218.799222441
"909",216090.166150064
"910",163401.657960075
"911",165350.201526393
"912",186755.559888848
"913",268878.254836401
"914",309064.969116325
"915",239804.091448593
"916",279510.619731564
"917",324488.03470862
"918",142494.652901032
"919",202067.758379937
"920",153714.832091442
"921",166958.669118675
"922",206124.725982019
"923",206265.315552149
"924",241685.827285029
"925",161335.972063986
"926",133431.313455002
"927",136408.555765363
"928",105497.631842002
"929",121732.352254404
"930",143534.017943759
"931",143505.015786779
"932",111745.621141783
"933",166084.682705571
"934",137927.064104021
"935",202725.374314773
"936",145191.692421404
"937",220849.198926061
"938",128601.328370978
"939",68308.7822339438
"940",66482.357677572
"941",117806.43254081
"942",137829.140084123
"943",147769.530338013
"944",155300.390218799
"945",159604.904414281
"946",138030.773381314
"947",118821.820832752
"948",145672.293327406
"949",120643.658003474
"950",177116.82828202
"951",114095.688228332
"952",154022.542765988
"953",129977.675606498
"954",154415.257194198
"955",135924.495636467
"956",127985.491998497
"957",128548.829664346
"958",129564.82676789
"959",121142.532233034
"960",120873.323612153
"961",142781.947575475
"962",108901.400551026
"963",113630.95787747
"964",168570.649067185
"965",190630.171983479
"966",127217.139710185
"967",137795.233187288
"968",173683.949260793
"969",111420.062213234
"970",132503.240095492
"971",109741.910136815
"972",146547.813189893
"973",143286.682855605
"974",139934.986137135
"975",153802.964845825
"976",101508.676357607
"977",104236.251117987
"978",120992.491126474
"979",104832.500015354
"980",125163.709130432
"981",95826.2363945629
"982",98244.8756082489
"983",125370.595705031
"984",133980.087145983
"985",92093.9220359613
"986",131404.911004106
"987",183838.929395838
"988",131373.646295066
"989",114363.188255876
"990",157026.862806659
"991",125647.442125614
"992",191704.176731585
"993",89725.6909622529
"994",112467.335888165
"995",122018.086731079
"996",129712.627592234
"997",127011.380769702
"998",130421.75759022
"999",105346.805302258
"1000",139259.200589114
"1001",128973.165273472
"1002",131134.977955521
"1003",127895.317324589
"1004",167512.377257755
"1005",147155.791774935
"1006",116858.006265691
"1007",139734.411737732
"1008",92451.1991049943
"1009",91608.3501431599
"1010",187991.18470986
"1011",211279.304396691
"1012",167489.953772093
"1013",109673.902803806
"1014",81072.8976881825
"1015",218154.716085288
"1016",118073.738819286
"1017",126359.733087559
"1018",159892.729326935
"1019",110363.723118292
"1020",148689.136080431
"1021",121450.867499919
"1022",127798.367472744
"1023",112096.28555156
"1024",121680.373219574
"1025",126134.769071002
"1026",153937.299229206
"1027",167804.70101096
"1028",163413.585456011
"1029",158526.539568039
"1030",140614.35070912
"1031",88128.1665809142
"1032",190018.086085378
"1033",160470.791929741
"1034",152778.033305546
"1035",99592.9013241284
"1036",235988.1823196
"1037",159353.867115961
"1038",105579.857813481
"1039",87658.9975379966
"1040",119963.333770873
"1041",136576.686992012
"1042",147764.861864851
"1043",98690.6369898209
"1044",174255.939374812
"1045",222951.888212704
"1046",253285.92045345
"1047",286550.000673492
"1048",253781.575027356
"1049",218356.687654068
"1050",219146.882224813
"1051",175571.164629448
"1052",203099.200109789
"1053",222695.477665116
"1054",267651.595372137
"1055",148162.11202026
"1056",177099.979350433
"1057",146912.247557686
"1058",152413.231713611
"1059",227301.603006672
"1060",213449.86668765
"1061",189176.842333427
"1062",224094.788054236
"1063",124032.434685352
"1064",136539.957855516
"1065",144639.052359515
"1066",138673.28113903
"1067",121799.268698922
"1068",122291.724264939
"1069",133148.267767963
"1070",126906.398699136
"1071",240511.027782428
"1072",226836.841777333
"1073",193514.998975608
"1074",232918.381340232
"1075",291253.681779831
"1076",231573.949064156
"1077",233706.972759853
"1078",187578.622432369
"1079",192489.81138598
"1080",185302.781920644
"1081",182593.8171798
"1082",163716.227517625
"1083",123147.201139054
"1084",119060.067247842
"1085",142439.611732481
"1086",129487.509543859
"1087",145727.10402421
"1088",147462.747093567
"1089",156187.485580212
"1090",759330.337930949
"1091",144874.312222957
"1092",122311.166928112
"1093",73390.1362175052
"1094",99791.2611836905
"1095",119386.046501485
"1096",96941.743758478
"1097",105796.471446973
"1098",137639.640343378
"1099",142583.632570159
"1100",148066.486299488
"1101",147536.29116159
"1102",139557.795028615
"1103",149182.459039509
"1104",188020.100133691
"1105",123776.604240175
"1106",156906.808209953
"1107",142748.790750724
"1108",199315.176334106
"1109",220050.609912584
"1110",120788.589867808
"1111",191457.315904412
"1112",151432.590312955
"1113",235089.435456484
"1114",294080.593898237
"1115",135045.60984341
"1116",115741.933227488
"1117",137974.701125068
"1118",86255.6952010387
"1119",64586.1140045132
"1120",86830.0672220713
"1121",90091.0336935645
"1122",98102.2350008169
"1123",264950.866683848
"1124",184605.308076514
"1125",192779.987413036
"1126",224860.123575188
"1127",200442.580023384
"1128",147463.619756979
"1129",154699.286904886
"1130",204836.199264679
"1131",227411.553930063
"1132",216144.621675026
"1133",248152.669075889
"1134",184995.097710304
"1135",200756.469239706
"1136",285806.002688041
"1137",183132.726107806
"1138",267054.538083467
"1139",322502.842984122
"1140",141627.519814564
"1141",139732.51881445
"1142",87738.7154893372
"1143",95533.9724371378
"1144",90203.6089678803
"1145",86085.8977264426
"1146",150029.428343076
"1147",192720.368437057
"1148",203406.269811391
"1149",172563.014818724
"1150",109829.644832964
"1151",133618.362092101
"1152",159115.722619644
"1153",129650.360080329
"1154",123521.967267212
"1155",151690.092599491
"1156",145806.515148993
"1157",181585.2256209
"1158",195611.395305822
"1159",199196.975585006
"1160",179917.237125122
"1161",173999.480108959
"1162",178195.100952785
"1163",238507.402277483
"1164",299777.733662567
"1165",302074.11670661
"1166",171217.569758416
"1167",168102.654085279
"1168",426136.557575766
"1169",460745.164122226
"1170",360170.486071292
"1171",452305.15639466
"1172",382502.701026774
"1173",296888.901448335
"1174",385357.11508191
"1175",165183.209418627
"1176",174334.3026958
"1177",173442.23880364
"1178",260692.620583781
"1179",189311.566255736
"1180",148056.379032224
"1181",102987.871823725
"1182",193095.81825909
"1183",107156.396222332
"1184",122688.290841645
"1185",111530.464583638
"1186",97344.1692810874
"1187",106406.104042501
"1188",142018.326325092
"1189",152239.455359357
"1190",133843.938249787
"1191",142180.806631501
"1192",396030.619548398
"1193",264563.210921691
"1194",262424.085913514
"1195",366179.208725983
"1196",320238.901367716
"1197",344843.728329235
"1198",303224.543540184
"1199",303400.833142107
"1200",359921.030007014
"1201",350040.028584324
"1202",341203.630080967
"1203",294766.401487975
"1204",269329.367643111
"1205",320753.152497242
"1206",287416.241906797
"1207",177567.462478322
"1208",185136.383872022
"1209",188800.718944981
"1210",276038.90019188
"1211",190722.316071013
"1212",201416.702829784
"1213",202010.481627323
"1214",194852.03431419
"1215",170845.495334533
"1216",196623.015892784
"1217",198902.822991038
"1218",245261.947180285
"1219",278065.946035266
"1220",287936.707235535
"1221",373314.040800642
"1222",309753.103134916
"1223",438258.663479141
"1224",308413.700021144
"1225",320537.491635809
"1226",250984.439307033
"1227",295810.017007912
"1228",221505.257710338
"1229",208432.592131243
"1230",381470.327197137
"1231",187160.719584383
"1232",140823.157059103
"1233",205287.749061643
"1234",142944.247952517
"1235",191802.308502022
"1236",184288.087559686
"1237",181557.005948414
"1238",194691.934143966
"1239",177164.570809637
"1240",158893.112723222
"1241",153787.750074655
"1242",114409.711052823
"1243",125784.522582297
"1244",140121.393642057
"1245",115753.119121538
"1246",108901.151461974
"1247",120579.915278439
"1248",129578.963770163
"1249",105694.032716103
"1250",124979.015787008
"1251",251832.428051615
"1252",350956.177225328
"1253",168483.550024303
"1254",151584.41173115
"1255",167227.929032554
"1256",149543.473552857
"1257",190975.069708229
"1258",216023.890185901
"1259",154066.766498536
"1260",171964.095062321
"1261",130213.757086148
"1262",164131.832890255
"1263",147607.64302293
"1264",124562.318834402
"1265",126909.648753828
"1266",146298.919687513
"1267",177253.369378284
"1268",178525.047753862
"1269",148176.494201774
"1270",146734.59781627
"1271",128539.208908691
"1272",131771.484567898
"1273",154497.830739842
"1274",145152.732963276
"1275",133183.53799223
"1276",135370.903092301
"1277",116985.629805262
"1278",141250.436484711
"1279",159273.765462982
"1280",132850.360504951
"1281",143057.751417984
"1282",157229.41982212
"1283",158083.383081517
"1284",158075.339168245
"1285",144718.745742776
"1286",132906.58081252
"1287",151888.798752721
"1288",129008.228888879
"1289",127174.354851555
"1290",129960.658461764
"1291",130113.844478794
"1292",199779.726074061
"1293",147287.920899961
"1294",203575.67237016
"1295",137691.172452514
"1296",96922.8353205404
"1297",75090.5693163062
"1298",83724.2358574981
"1299",159860.088741588
"1300",118038.037671125
"1301",141161.129379061
"1302",141663.597662653
"1303",182788.032541224
"1304",144394.268412032
"1305",265093.925660749
"1306",126177.531168161
"1307",85427.4252975757
"1308",128516.228057399
"1309",129403.595077807
"1310",141257.885146679
"1311",106994.897650726
"1312",107450.342583227
"1313",155519.150741137
"1314",141537.171617429
"1315",117696.092583716
"1316",148929.151083049
"1317",148912.321516144
"1318",111494.372496955
"1319",119899.806571137
"1320",102593.229769674
"1321",94633.9501470831
"1322",95480.2469968651
"1323",95221.3736274977
"1324",121156.683384506
"1325",134924.949075858
"1326",63824.6205770713
"1327",125762.077714725
"1328",75377.4817491881
"1329",161718.137276074
"1330",95878.7909827252
"1331",113287.368977076
"1332",51091.689258565
"1333",149573.219555919
"1334",96201.3248352654
"1335",119233.890750567
"1336",98091.6748828481
"1337",206005.03556564
"1338",100143.198708576
"1339",112541.581238115
"1340",77764.5602769414
"1341",109594.54931109
"1342",133738.154812051
"1343",171937.627149706
"1344",126728.978660898
"1345",98885.7773411893
"1346",87552.8470452584
"1347",157949.108975537
"1348",143341.547288222
"1349",133288.279042766
"1350",125464.789446178
"1351",155242.53023397
"1352",157225.23856735
"1353",164483.227698331
"1354",166171.40103815
