"","s0"
"134",113887.258512102
"135",111442.806874861
"136",214821.41401631
"137",199470.90251392
"138",217306.976604972
"139",168740.195412183
"140",169085.821984519
"141",70966.1690512021
"142",117076.803724009
"143",69169.4082618831
"144",267778.089033219
"145",236166.852556704
"146",162413.743192071
"147",167523.152423581
"148",226438.220722877
"149",183431.886468432
"150",158293.072330195
"151",141627.912139712
"152",174481.655328561
"153",166618.283046874
"154",120411.89032768
"155",88764.0878580517
"156",78919.1806290393
"157",92572.6420746704
"158",130782.578813526
"159",136770.086320213
"160",157888.517946126
"161",137073.946362539
"162",144022.405710095
"163",259006.170156786
"164",221002.024446172
"165",116137.244483318
"166",176877.343579557
"167",195728.466230153
"168",264373.323328689
"169",178098.560483959
"170",333968.053572385
"171",229337.687406748
"172",244295.961632796
"173",173999.672804086
"174",188938.150233961
"175",177881.403627613
"176",155167.527159893
"177",196061.195130125
"178",186317.674121204
"179",184181.33668819
"180",238907.751029141
"181",178130.175140733
"182",257486.203693129
"183",224930.405128485
"184",233014.785822203
"185",196422.734568513
"186",164975.385135451
"187",154574.973316766
"188",129715.934757755
"189",143126.550814274
"190",113439.577930699
"191",121278.886971106
"192",98087.9429204666
"193",99749.4404074701
"194",144304.147409355
"195",127739.159539597
"196",143805.81386292
"197",148677.265078052
"198",151770.300338935
"199",114799.972966257
"200",160401.453123965
"201",420765.176880008
"202",355122.305053366
"203",353961.495354379
"204",538005.720032225
"205",288555.192015085
"206",311657.251559338
"207",366872.390385434
"208",331818.341191435
"209",300747.796275683
"210",331751.269301161
"211",278254.176151791
"212",384971.367551243
"213",296643.320249986
"214",244263.502069484
"215",210654.616099864
"216",205510.722292085
"217",227138.232990408
"218",457226.968604455
"219",370662.93349139
"220",304018.371203693
"221",235167.017756235
"222",319429.485682067
"223",193893.674843891
"224",181539.835495233
"225",181193.988272821
"226",173309.642628732
"227",169590.527136104
"228",196375.342303309
"229",194072.316358668
"230",203610.965145299
"231",193749.371308921
"232",253106.247803124
"233",170970.661047614
"234",183720.727505027
"235",162723.866799706
"236",271430.601142319
"237",164510.502693415
"238",342069.823262284
"239",311572.737119586
"240",261358.375460406
"241",271678.865494403
"242",236356.845615579
"243",241734.53096058
"244",271812.86576148
"245",245502.597001761
"246",230473.4641566
"247",210484.97392894
"248",203111.701510302
"249",263311.896496506
"250",221891.147528131
"251",284987.02895123
"252",255787.652102378
"253",266125.479626031
"254",213312.723005648
"255",207788.911131208
"256",180072.731016704
"257",176710.32263046
"258",135280.710863145
"259",208309.058526554
"260",218331.510752901
"261",154671.002363536
"262",122070.983037785
"263",152471.006562765
"264",201795.480056717
"265",234697.244576911
"266",188813.554165664
"267",160147.610903164
"268",166408.127289033
"269",170846.209686821
"270",145506.303176978
"271",121925.569167122
"272",128604.044833002
"273",112283.68838405
"274",123868.245601445
"275",125764.301566353
"276",111645.890223219
"277",287674.063708726
"278",257096.423459294
"279",229541.794215601
"280",222538.15687388
"281",198914.429697764
"282",170463.232903857
"283",181978.02809149
"284",298710.496348498
"285",218881.366228917
"286",180563.786630446
"287",215497.913431742
"288",214873.043603996
"289",147376.850582143
"290",121865.728015405
"291",243028.326391181
"292",116128.845129762
"293",149850.152368355
"294",192683.031248034
"295",171418.273497292
"296",124914.467294582
"297",120743.737475562
"298",149033.842670958
"299",160000.744063354
"300",173842.402738905
"301",155776.781043145
"302",172138.316167926
"303",184674.720827712
"304",115093.314264141
"305",133890.893759581
"306",194495.982038133
"307",215881.166140925
"308",137789.569041175
"309",163910.457130131
"310",156949.626382744
"311",124184.802958699
"312",132173.618988682
"313",124681.924107136
"314",150263.793968023
"315",144086.736464054
"316",130545.566735153
"317",106186.584807025
"318",140116.097775986
"319",131458.396436404
"320",165493.694712312
"321",125402.161733006
"322",91989.984542316
"323",143865.972688797
"324",113535.245077159
"325",123270.321747322
"326",138177.599343903
"327",157959.363928703
"328",63929.6112400957
"329",100385.802818255
"330",92642.1642132026
"331",180444.994110539
"332",151403.149678225
"333",122862.803859981
"334",154967.024061562
"335",135818.122655107
"336",132686.103386176
"337",113430.412651073
"338",124418.540882991
"339",112185.769944585
"340",136616.830820177
"341",125547.173974429
"342",131349.992905671
"343",146968.055361942
"344",145535.496094933
"345",135375.798848624
"346",125075.851978788
"347",136045.52763093
"348",127105.777838932
"349",121697.320510902
"350",137848.895938411
"351",81508.9676301037
"352",93158.8787520136
"353",121741.330663323
"354",98994.9566145736
"355",59336.6681630401
"356",98933.9049532311
"357",112020.713715238
"358",136680.356974618
"359",124901.113328395
"360",56574.7720153282
"361",102888.244606583
"362",151547.706103885
"363",47573.3529296586
"364",134013.319714214
"365",137580.043066064
"366",113105.748507924
"367",104741.838703532
"368",134388.378333813
"369",130542.152582735
"370",144099.702030598
"371",135016.816216701
"372",82671.4077653372
"373",134625.116805243
"374",120978.945476288
"375",124619.419891998
"376",116995.284441394
"377",98501.7110254012
"378",125556.610957292
"379",95706.4088321149
"380",135436.980980755
"381",135348.996486468
"382",96447.8809184992
"383",135457.33382353
"384",145591.489498601
"385",143857.650942588
"386",162922.469501558
"387",177573.417050968
"388",55729.9672128275
"389",105266.406085318
"390",118861.038548924
"391",150683.411246514
"392",129958.27023341
"393",127414.057972956
"394",158879.669607087
"395",150237.411521159
"396",232352.553642196
"397",132741.066758871
"398",131330.813002647
"399",119910.399609577
"400",152555.583031347
"401",119940.703451496
"402",295682.214484616
"403",277932.47968177
"404",277992.1048464
"405",320007.619738489
"406",296237.912298252
"407",220497.745492491
"408",278606.253528941
"409",205159.398502497
"410",221433.883054843
"411",250143.164662738
"412",187036.901563011
"413",259467.489473693
"414",155198.977887422
"415",192434.443400873
"416",203308.635126069
"417",207563.011255361
"418",202514.331895246
"419",133457.809113728
"420",128925.421987923
"421",246787.910195079
"422",240281.886402589
"423",181740.47688102
"424",196530.142123966
"425",211660.117758796
"426",266425.497770528
"427",220985.160207562
"428",265186.828314363
"429",181703.731272814
"430",110083.599351143
"431",125596.163344795
"432",100201.623341841
"433",122862.275208889
"434",126348.689576509
"435",132863.749077268
"436",126659.194563924
"437",133204.675593843
"438",115463.199524364
"439",162077.41506425
"440",150141.729557392
"441",170504.171831231
"442",158664.059356026
"443",215578.997992875
"444",140276.18917185
"445",204326.512767915
"446",132427.73939352
"447",221153.965524058
"448",108184.366656368
"449",140078.866350857
"450",121423.497460277
"451",219208.381123809
"452",298878.112360915
"453",134107.926747724
"454",56697.7830146945
"455",300821.396865771
"456",68483.6966367962
"457",243169.945109404
"458",140551.973764213
"459",175813.960479717
"460",150443.371224651
"461",367629.395254603
"462",296458.87251031
"463",245880.522117381
"464",229710.243224324
"465",198807.795421649
"466",346357.191384716
"467",133060.512719026
"468",163798.560424351
"469",124358.924678707
"470",129470.024311018
"471",140638.918467632
"472",134299.60695386
"473",183993.752430936
"474",181684.343764514
"475",176572.790187636
"476",189480.146200439
"477",182583.898515877
"478",169891.71303646
"479",245662.039135157
"480",194410.267591739
"481",167810.324833634
"482",170492.329505638
"483",221069.429001318
"484",360271.235350192
"485",368864.872765376
"486",131644.658082889
"487",185478.885297357
"488",163821.888525084
"489",248511.296114985
"490",178360.773020828
"491",235167.829782498
"492",208818.438077504
"493",173840.506512099
"494",177679.172669696
"495",136538.810293157
"496",300988.683212463
"497",149422.125923785
"498",258310.11730496
"499",144473.399919189
"500",113134.898294872
"501",123171.370873859
"502",98461.9124368406
"503",103657.066013819
"504",105712.68760138
"505",143882.171056563
"506",127659.911708804
"507",300966.071334853
"508",409483.586477371
"509",349091.273544206
"510",386047.435346322
"511",484298.232948381
"512",377188.354372141
"513",291246.863715047
"514",328953.69710376
"515",499914.041883215
"516",277782.744477493
"517",347341.519883195
"518",345291.375607899
"519",308640.831510118
"520",219037.770373774
"521",317607.835104429
"522",227089.027761489
"523",213274.947492796
"524",175241.159856991
"525",222564.122640183
"526",211129.983747378
"527",181809.675752059
"528",182091.258975818
"529",194746.037756808
"530",208069.688490964
"531",237843.811179191
"532",210702.589009736
"533",173849.824906223
"534",213637.030160039
"535",184240.592217069
"536",259670.686912612
"537",310299.80823677
"538",305785.230357307
"539",290242.228390497
"540",310369.443234317
"541",292908.572706792
"542",239054.017396479
"543",262644.406260128
"544",295479.043382957
"545",224320.251196522
"546",216916.360240574
"547",249274.815521551
"548",226207.703757918
"549",197254.765653005
"550",193642.076908015
"551",136245.691934409
"552",176148.932679421
"553",181545.957910307
"554",189070.729975163
"555",208042.666670836
"556",193539.354136455
"557",194026.183546665
"558",118443.957884872
"559",135636.139487535
"560",98162.2282581954
"561",106139.418379525
"562",202071.476523481
"563",140520.15529603
"564",281688.760618147
"565",358466.946444093
"566",174222.441672602
"567",165926.631738804
"568",149939.477989323
"569",165934.535125915
"570",249334.57718719
"571",225144.159787583
"572",233090.392598824
"573",232548.108726864
"574",166588.110958638
"575",217860.325738534
"576",196937.992169659
"577",215284.614495575
"578",305344.181247664
"579",217457.42551997
"580",281218.704517484
"581",288710.809478177
"582",205921.695383453
"583",176196.277074463
"584",165824.588045803
"585",205665.836139607
"586",156415.102233455
"587",142229.891421818
"588",138732.145603444
"589",145355.255664669
"590",165520.677046557
"591",104902.535715853
"592",124076.643291151
"593",146154.284733309
"594",103121.763874597
"595",152955.07460167
"596",152291.274758989
"597",115059.184801613
"598",217913.31502362
"599",138783.693926832
"600",170220.764584222
"601",162820.857276119
"602",128177.409572121
"603",121194.124849658
"604",140819.725173314
"605",130307.763198523
"606",162858.691885144
"607",118747.825111435
"608",145787.898216919
"609",82487.8014935367
"610",114124.196229616
"611",100462.498684389
"612",146892.953612155
"613",133563.506047268
"614",166896.876043653
"615",138937.518269086
"616",114343.007212371
"617",163064.946576613
"618",127929.660477129
"619",129147.522573862
"620",116034.163928201
"621",125054.013027781
"622",120502.968884902
"623",146363.137521555
"624",107622.621842189
"625",116157.68018627
"626",108919.016713423
"627",115656.939577204
"628",98125.0859332026
"629",82058.7621513424
"630",126024.780910094
"631",116392.44571844
"632",123898.061771306
"633",105308.995154346
"634",110560.238629135
"635",161864.548305378
"636",89764.4966867242
"637",98829.1654929334
"638",144256.364245828
"639",57193.4798453184
"640",79207.025421163
"641",113247.994952689
"642",117390.340661992
"643",109711.332598803
"644",129195.093678803
"645",127486.193556806
"646",69732.9628957627
"647",184901.837871851
"648",109936.315227444
"649",107750.001788013
"650",122180.804355197
"651",124024.208875197
"652",136247.158835259
"653",123323.432868563
"654",128770.514208426
"655",160070.939301675
"656",119188.354852401
"657",140927.272264881
"658",129945.573074992
"659",117495.83383452
"660",114802.675554194
"661",83814.6258426714
"662",121034.049767497
"663",83417.5256534393
"664",149486.355699246
"665",122862.499672422
"666",160590.970389901
"667",159052.684424865
"668",123376.039193885
"669",85592.1553751799
"670",127444.753251302
"671",133246.004202705
"672",117005.412391609
"673",120520.943385677
"674",119392.301034628
"675",93669.814784207
"676",87741.0069041754
"677",106173.784527588
"678",138828.567673659
"679",147811.295152097
"680",140169.220697816
"681",154509.592445642
"682",130945.894912233
"683",148054.435788714
"684",122267.569406816
"685",142560.19639108
"686",162715.515198243
"687",154957.640605125
"688",125287.511705924
"689",145682.150778264
"690",227300.247240958
"691",117881.688401475
"692",153019.111566136
"693",159141.116314381
"694",100152.008306919
"695",132725.533340904
"696",248332.246258884
"697",229071.38317057
"698",236601.141644443
"699",216589.640117344
"700",194545.88129208
"701",234776.98026699
"702",341977.893069287
"703",335626.832388975
"704",240941.814796685
"705",196834.048510861
"706",156502.171156985
"707",213573.341691562
"708",198421.09586161
"709",195085.004150349
"710",210739.987796755
"711",153601.43990465
"712",132209.957098614
"713",161227.298733673
"714",221500.818341503
"715",294852.313258847
"716",290935.65195482
"717",232382.392339409
"718",213925.04729602
"719",136023.891932322
"720",204080.588507712
"721",193174.288193033
"722",221754.518702704
"723",190841.242109416
"724",118416.116093822
"725",128940.731615316
"726",141200.727546525
"727",152799.176693074
"728",153838.67579996
"729",242566.874646091
"730",78496.1646256848
"731",76731.1138449881
"732",89763.6859121506
"733",105885.565533725
"734",105479.468293241
"735",113475.535086065
"736",107234.571116576
"737",124631.360682096
"738",153849.170661808
"739",175168.360595138
"740",144187.131972849
"741",142150.344100389
"742",202682.703686465
"743",147236.967174335
"744",183909.482032079
"745",128207.653452851
"746",147896.789134583
"747",223300.423843786
"748",259129.53256374
"749",248580.76445774
"750",121935.05554161
"751",110105.078327308
"752",114112.85846121
"753",105428.708951571
"754",130998.769576353
"755",101858.363500127
"756",140524.917588243
"757",65635.1518860061
"758",69556.5611768578
"759",61895.1682534433
"760",61844.9317467599
"761",302053.577070593
"762",279542.310540962
"763",265052.025461773
"764",206208.284892812
"765",113641.059703975
"766",177846.132154269
"767",195191.276241098
"768",266474.144969474
"769",263805.390960989
"770",152424.730941271
"771",222049.883665041
"772",177535.636699707
"773",192859.402164093
"774",248950.949669167
"775",219144.734076766
"776",256860.843133085
"777",302485.679202021
"778",205043.297930631
"779",95349.960827459
"780",148756.906740262
"781",164383.816152333
"782",122116.755101457
"783",131409.590671902
"784",105152.940561871
"785",96424.3233935423
"786",143150.468412129
"787",107547.55287589
"788",119232.890098979
"789",119467.589557918
"790",126534.35994683
"791",116997.354943286
"792",180477.936511177
"793",158426.303524564
"794",179996.316165826
"795",184908.541395462
"796",168301.996639384
"797",195468.145586747
"798",157462.18523477
"799",174678.272788818
"800",143801.143337641
"801",197934.458921196
"802",213423.6900581
"803",378537.748259691
"804",509514.098991611
"805",164069.511266647
"806",287336.511588115
"807",353406.583351632
"808",519917.523049345
"809",147299.869548842
"810",200213.254748405
"811",210763.377044533
"812",207240.841600895
"813",161826.883324165
"814",181535.001297164
"815",166056.001424792
"816",191252.896619931
"817",181612.25583162
"818",142267.411384243
"819",125518.399422926
"820",112983.611731778
"821",169414.979986986
"822",182800.046239092
"823",107692.298024235
"824",113930.970192129
"825",130825.217073085
"826",122767.945981601
"827",346611.045871498
"828",290099.471027083
"829",371210.804589787
"830",435209.296069432
"831",330336.639607564
"832",402031.216122643
"833",447375.427305633
"834",391414.22172242
"835",455066.811937208
"836",288404.561220393
"837",339497.534804857
"838",343240.912543228
"839",357609.786232404
"840",325550.606825277
"841",322905.592721174
"842",256614.745927076
"843",244846.993164733
"844",266591.176962979
"845",211045.907798214
"846",202553.566762981
"847",214858.898848368
"848",242372.841744498
"849",268763.547059157
"850",223650.872819086
"851",211213.877055968
"852",173843.436993596
"853",175593.593445983
"854",175246.511211283
"855",187320.109193574
"856",196404.962552673
"857",191737.725745173
"858",186152.062434864
"859",186657.19466748
"860",178981.66719049
"861",232154.020073389
"862",190068.346522273
"863",186509.264747202
"864",185488.989542829
"865",215949.304852768
"866",179170.446765806
"867",200600.359176737
"868",217844.064290287
"869",191813.163247313
"870",180117.298897723
"871",355126.579453417
"872",365370.584242137
"873",315068.642147572
"874",261617.145093467
"875",288918.653505319
"876",304412.489340346
"877",190123.509270754
"878",256135.305577156
"879",214842.415307209
"880",365004.954046142
"881",211426.061287811
"882",229107.681022629
"883",237356.286043161
"884",200959.289831436
"885",232995.558057027
"886",211787.427084617
"887",199463.027005268
"888",243455.653245887
"889",178229.597891907
"890",306524.374878788
"891",253524.594454281
"892",248518.051554634
"893",245948.447312901
"894",139765.802632975
"895",143449.016879573
"896",148220.26871773
"897",187128.292738386
"898",198469.851738645
"899",129689.147468427
"900",115270.615374929
"901",143882.307333964
"902",262142.049074234
"903",127657.719708936
"904",155402.204718287
"905",214054.731592801
"906",197673.42440775
"907",214937.020894053
"908",216266.14250253
"909",206640.418274688
"910",167550.990288959
"911",160848.080489499
"912",194043.86119876
"913",285951.965837368
"914",315933.089134581
"915",230812.350112727
"916",300669.404435455
"917",314926.454529085
"918",159811.675535605
"919",194915.457071066
"920",153849.079036683
"921",175226.136141846
"922",203679.516496561
"923",197145.206475953
"924",238716.330828914
"925",160302.125217124
"926",133527.64652731
"927",137075.831274175
"928",103406.785363583
"929",125808.896610853
"930",160763.710299909
"931",148398.38241083
"932",117559.212409806
"933",179152.098437377
"934",139025.261638428
"935",201992.894409879
"936",141321.704809552
"937",220266.915312315
"938",132477.015135377
"939",69982.5255287368
"940",70379.455926232
"941",123477.408448821
"942",140219.163335241
"943",148114.331473578
"944",161887.956333373
"945",162447.264988125
"946",137536.400099858
"947",115271.227916492
"948",140863.958942564
"949",119327.43875628
"950",162557.69201117
"951",115431.857439193
"952",157008.717302992
"953",130113.254709188
"954",153428.367944511
"955",138977.495124564
"956",123811.370911308
"957",130490.079821829
"958",131450.979293366
"959",124025.285511351
"960",127474.392191483
"961",145783.132939865
"962",105480.456537717
"963",114884.896804613
"964",159837.139000163
"965",183605.576657641
"966",134368.010564197
"967",132530.630548492
"968",173860.032936825
"969",112804.243904494
"970",129565.221142024
"971",112691.91346586
"972",150453.273530862
"973",148396.264168944
"974",137927.699824805
"975",151050.678715992
"976",111874.037327848
"977",107778.358961477
"978",125651.409048225
"979",103355.973321042
"980",122452.425018212
"981",91390.72700591
"982",101270.588822902
"983",126095.137735591
"984",139044.670086147
"985",94920.372343037
"986",134822.369545282
"987",172073.370692688
"988",127342.18099461
"989",114192.153098969
"990",152187.822501888
"991",129303.529472142
"992",190901.707005631
"993",89229.907404145
"994",123335.063851671
"995",129692.471879971
"996",123170.8390848
"997",143377.148874081
"998",134318.079193639
"999",108061.198137274
"1000",143871.104870328
"1001",127392.990952553
"1002",131014.364563695
"1003",129483.784015157
"1004",161063.743708399
"1005",139773.80599663
"1006",118420.520379142
"1007",128143.283382149
"1008",99031.5592848935
"1009",90984.3513927366
"1010",183635.366720991
"1011",195543.012074951
"1012",154522.857709873
"1013",110043.401150084
"1014",84969.3105336096
"1015",194270.740671174
"1016",113963.666155845
"1017",129901.166173336
"1018",155403.070971826
"1019",104892.645310928
"1020",150781.317322899
"1021",125093.238121138
"1022",118769.108449582
"1023",113333.138531024
"1024",123467.969981333
"1025",124088.210359371
"1026",154433.171289674
"1027",176332.492116943
"1028",161516.305887344
"1029",155576.283811034
"1030",141824.60004121
"1031",82364.5554758346
"1032",209122.807588204
"1033",164371.961186789
"1034",145633.122933355
"1035",87018.5948072615
"1036",251953.361255129
"1037",146350.176880771
"1038",116436.159603854
"1039",87264.516065572
"1040",120237.638965971
"1041",128788.316048728
"1042",142283.947774365
"1043",102227.936399318
"1044",167697.581464099
"1045",243721.211904891
"1046",250753.161177435
"1047",285517.451497395
"1048",250051.702535997
"1049",217366.16441614
"1050",217611.052093279
"1051",172069.525796319
"1052",199146.57046696
"1053",226149.996960848
"1054",297956.127023947
"1055",152535.215834189
"1056",182484.936931318
"1057",147130.364795086
"1058",157711.597423629
"1059",231953.773688067
"1060",214243.225609655
"1061",186076.598271682
"1062",226504.486119362
"1063",118005.510885529
"1064",144327.691933427
"1065",147465.62602577
"1066",148946.179562639
"1067",123752.991518043
"1068",142054.849838834
"1069",142115.331333284
"1070",128979.49372715
"1071",242527.97595241
"1072",223946.287629561
"1073",191914.137664506
"1074",225470.965007923
"1075",278907.904540793
"1076",233989.298199027
"1077",237448.824296289
"1078",186646.260306544
"1079",185039.994936601
"1080",187250.330990674
"1081",185021.87096993
"1082",168013.197040836
"1083",118599.347827206
"1084",116694.509869187
"1085",142721.604541733
"1086",121921.363000244
"1087",138109.076453599
"1088",151009.331950922
"1089",162912.211084542
"1090",658833.119345162
"1091",142212.568934341
"1092",115714.764372887
"1093",68182.7345775026
"1094",92976.3512832596
"1095",116067.613641497
"1096",98712.5524309161
"1097",103356.364984577
"1098",131416.806269522
"1099",147882.341415587
"1100",155750.175412693
"1101",144981.439234937
"1102",147453.105476274
"1103",139598.741821665
"1104",200553.146238313
"1105",138291.505681092
"1106",175506.715633151
"1107",145373.347117617
"1108",204011.658899412
"1109",243239.488165261
"1110",119180.922779488
"1111",193739.687869525
"1112",140116.713332157
"1113",224692.776821656
"1114",306416.997170504
"1115",128635.71731313
"1116",110113.320350015
"1117",126951.294263214
"1118",81816.0960222233
"1119",67290.5936252489
"1120",78593.3379269438
"1121",92738.5508454437
"1122",95858.7148607747
"1123",287395.402644346
"1124",175404.397494439
"1125",197420.739226311
"1126",216092.582993449
"1127",193177.068725585
"1128",142805.036006428
"1129",149261.580535777
"1130",195745.905613878
"1131",228495.949656361
"1132",213580.783715162
"1133",245857.47454541
"1134",180148.911796537
"1135",197950.130793577
"1136",292327.010339804
"1137",191602.783362712
"1138",280399.479144198
"1139",404572.360996679
"1140",132871.333154795
"1141",125613.69094757
"1142",84483.8247528145
"1143",95183.428927823
"1144",89194.527809941
"1145",84615.8534937893
"1146",151478.688263492
"1147",192356.216196026
"1148",188925.246562249
"1149",176097.291181467
"1150",108393.782164814
"1151",139441.178504597
"1152",163787.152728694
"1153",123715.078335058
"1154",120127.599291867
"1155",153339.325229495
"1156",150353.514248105
"1157",181805.969244946
"1158",194828.012053815
"1159",194066.042820978
"1160",182630.170732775
"1161",169195.189373764
"1162",175008.886821933
"1163",233316.846806769
"1164",319691.159218427
"1165",299600.627414599
"1166",175289.933633555
"1167",159827.432073592
"1168",461444.616960486
"1169",494791.986469431
"1170",388677.462735211
"1171",460624.73409001
"1172",407825.307572198
"1173",301714.325625557
"1174",408277.177026097
"1175",152137.843939854
"1176",172327.156108284
"1177",169783.110670134
"1178",273055.121946381
"1179",185103.202267884
"1180",147864.047700514
"1181",107102.708842918
"1182",178598.456563612
"1183",105904.210028244
"1184",123383.366188677
"1185",108404.389789012
"1186",96021.6671889697
"1187",103788.746135871
"1188",142172.373286335
"1189",152125.458784211
"1190",122013.281739953
"1191",144657.652370369
"1192",394500.6416424
"1193",257589.707912862
"1194",275476.505625227
"1195",391409.575212253
"1196",333203.363368596
"1197",355148.080111095
"1198",309837.855952758
"1199",301112.220962897
"1200",381329.9233558
"1201",339000.800044097
"1202",348586.656859025
"1203",311699.43283366
"1204",262843.587959215
"1205",314738.974349763
"1206",279873.118043471
"1207",183200.925355247
"1208",181638.816341247
"1209",185097.17686644
"1210",268876.38630471
"1211",188605.653387702
"1212",200827.549362285
"1213",198536.024267594
"1214",198343.754060196
"1215",172589.568069603
"1216",196316.794140587
"1217",196185.911131756
"1218",216669.402396155
"1219",299013.93536289
"1220",294638.720298565
"1221",361683.945070224
"1222",326819.173926873
"1223",451942.448387943
"1224",309623.403922384
"1225",316551.917562398
"1226",268139.062346925
"1227",298999.890068661
"1228",210015.791848289
"1229",204301.743179559
"1230",386487.89693839
"1231",192104.441248591
"1232",141312.107725897
"1233",206733.495346779
"1234",134568.770788964
"1235",194693.545697725
"1236",186911.086043054
"1237",181543.37405394
"1238",180206.023201767
"1239",169724.026181828
"1240",155741.4555881
"1241",151742.969934766
"1242",113415.993460131
"1243",119068.456313423
"1244",138654.415072223
"1245",111188.811318169
"1246",106551.546203472
"1247",117111.086974494
"1248",130707.59219664
"1249",101332.407343822
"1250",126042.777739756
"1251",293648.886839435
"1252",377274.222754984
"1253",172452.393203617
"1254",147273.577902557
"1255",169472.426311855
"1256",149547.099204371
"1257",208540.923129345
"1258",220321.750409676
"1259",163509.493401546
"1260",172711.26874723
"1261",132191.516609773
"1262",160655.119686766
"1263",140377.538419683
"1264",127074.021768886
"1265",129524.73595631
"1266",152011.634848759
"1267",180790.941930848
"1268",189153.210002835
"1269",146604.493029259
"1270",144802.921702598
"1271",127256.851396351
"1272",134659.710968196
"1273",151139.100457474
"1274",141957.594794657
"1275",137516.471437211
"1276",137878.763130797
"1277",120227.074728621
"1278",137389.116115638
"1279",153869.546524671
"1280",136089.733884594
"1281",145460.843855623
"1282",159457.332285998
"1283",164751.604827608
"1284",163777.818502606
"1285",144513.765157832
"1286",136145.213410323
"1287",147917.420421074
"1288",126193.154010699
"1289",131538.442762469
"1290",128165.285574494
"1291",136606.771994277
"1292",175267.436405087
"1293",144641.209438215
"1294",205299.794113613
"1295",138491.250640778
"1296",106622.667486998
"1297",82386.467946484
"1298",91975.6570389463
"1299",160167.125978599
"1300",123369.603723384
"1301",143601.129630165
"1302",137286.923428426
"1303",179788.602094036
"1304",147933.803513402
"1305",260253.153212336
"1306",109772.211846121
"1307",93430.4077410776
"1308",128997.935772312
"1309",134726.506376229
"1310",131861.450559681
"1311",106622.149665377
"1312",111223.570336266
"1313",172489.521238705
"1314",140616.839717653
"1315",114800.821754595
"1316",145768.021679245
"1317",155317.915243051
"1318",97985.223783943
"1319",121990.574156784
"1320",97409.3616361782
"1321",93940.5928509228
"1322",104162.125724047
"1323",104311.070975308
"1324",121157.767765641
"1325",138687.119508102
"1326",67390.0123426382
"1327",120373.727990418
"1328",81178.7241581227
"1329",159520.098525597
"1330",97660.0939437295
"1331",114138.180072094
"1332",55949.7173554154
"1333",125049.622667104
"1334",101321.129793804
"1335",121232.664154819
"1336",100570.11712457
"1337",198772.383878619
"1338",105665.54922118
"1339",98958.1974426439
"1340",72355.1124851264
"1341",103000.84952789
"1342",132425.017624092
"1343",168896.848072087
"1344",123112.143550553
"1345",97418.9138184235
"1346",87794.2141062048
"1347",175736.547659968
"1348",151673.612446394
"1349",127785.99837984
"1350",127474.531876397
"1351",158072.533272779
"1352",160693.997265089
"1353",162603.517064492
"1354",164106.631823122
